"","placement","civ","player","score"
"257",3,"FRANCE","bumbarcic",88
"258",4,"ARABIA","brunogaia_lac",60
"259",5,"AZTECS","Unknown Player",49
"260",6,"GREECE","Bot",3
"261",1,"AZTECS","p8orion",103
"262",2,"ENGLAND","Bot",97
"263",3,"CHINA",".katiag",95
"264",4,"GREECE","Bot",48
"265",5,"RUSSIA","Bot",24
"266",1,"FRANCE","Bot",103
"267",2,"ROME","jadeveon",61
"268",3,"ENGLAND","Bot",43
"269",4,"CHINA","jcbutterfly",43
"270",5,"EGYPT","Bot",36
"271",6,"RUSSIA","Bot",30
"272",1,"GREECE","Unknown Player",103
"273",2,"AZTECS","Bot",33
"274",3,"EGYPT","lewis_laswell",21
"275",4,"ARABIA","spoonx2",0
"276",1,"EGYPT","brunogaia_lac",106
"277",2,"FRANCE","bumbarcic",88
"278",3,"PERSIA","Bot",45
"279",4,"ENGLAND","Bot",35
"280",5,"GREECE","googlplex",1
"281",1,"ROME","Bot",104
"282",2,"CHINA","Bot",65
"283",3,"AZTECS","p8orion",63
"284",4,"RUSSIA","Bot",52
"285",5,"EGYPT",".katiag",36
"286",1,"RUSSIA","Unknown Player",109
"287",2,"EGYPT","Unknown Player",103
"288",3,"PERSIA","Bot",26
"289",4,"GREECE","inkvisiitorriistan",7
"290",5,"ROME","crash1654",5
"291",1,"CHINA","Unknown Player",105
"292",2,"FRANCE","brunogaia_lac",76
"293",3,"ENGLAND","googlplex",73
"294",4,"EGYPT","lewis_laswell",72
"295",5,"GREECE","bumbarcic",55
"296",6,"PERSIA","Bot",23
"297",7,"ARABIA","spoonx2",2
"298",1,"ROME","rschoogland",103
"299",2,"CHINA","Bot",73
"300",3,"ARABIA","Bot",53
"301",4,"PERSIA","runfatboyrun",51
"302",1,"CHINA","Unknown Player",121
"303",2,"ARABIA","spoonx2",79
"304",3,"FRANCE","brunogaia_lac",52
"305",4,"GREECE","Unknown Player",6
"306",5,"EGYPT","Unknown Player",4
"307",1,"CHINA","spoonx2",101
"308",2,"GREECE","Unknown Player",45
"309",3,"PERSIA","Bot",40
"310",4,"FRANCE","brunogaia_lac",31
"311",5,"EGYPT","lewis_laswell",12
"312",1,"GREECE","inkvisiitorriistan",113
"313",2,"AZTECS","Unknown Player",60
"314",3,"ROME","Unknown Player",47
"315",4,"CHINA","Bot",12
"316",5,"RUSSIA","spoonx2",11
"317",1,"ENGLAND","Unknown Player",99
"318",2,"GREECE","inkvisiitorriistan",90
"319",3,"ROME","spoonx2",88
"320",4,"AZTECS","Bot",27
"321",5,"PERSIA","Bot",3
"322",1,"CHINA","Unknown Player",118
"323",2,"EGYPT","glorious_axolotl_84151",62
"324",3,"GREECE","Bot",53
"325",4,"ROME","Bot",45
"326",5,"ENGLAND","silvermarksman",23
"327",1,"CHINA","Unknown Player",113
"328",2,"AZTECS","puszekse",85
"329",3,"GREECE","Unknown Player",40
"330",4,"PERSIA","brunogaia_lac",36
"331",5,"ENGLAND","Bot",11
